                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9581,                 2.4528,                 1.1259,                0.20197,                0.13134,                0.13871,                0.06368,                 1.9393,                 2.3066,                 1.0531,             0.00041284,             0.00041284,             0.00041284
                      2,                 1.6842,                 1.5149,                 1.0519,                0.36633,                 0.2354,                0.19561,                0.09356,                 1.9229,                 1.9264,                   1.03,             0.00081309,             0.00081309,             0.00081309
                      3,                 1.6254,                  1.405,                 1.0384,                0.25315,                0.28366,                0.21309,                0.10227,                 1.8126,                 2.0878,                 1.0546,              0.0011968,              0.0011968,              0.0011968
                      4,                 1.6125,                 1.2957,                 1.0295,                0.41047,                 0.3295,                0.23899,                0.11973,                 1.7845,                  1.415,                 1.0124,              0.0011757,              0.0011757,              0.0011757
                      5,                  1.569,                 1.2326,                 1.0147,                0.26089,                0.29921,                 0.2375,                0.11966,                 1.7549,                 1.2973,                 1.0179,               0.001151,               0.001151,               0.001151
                      6,                 1.5346,                 1.1497,                 1.0034,                0.36003,                0.25519,                0.25157,                0.12612,                 1.7824,                  1.278,                 1.0263,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.5209,                 1.1295,                0.99984,                0.38461,                0.33869,                0.28686,                0.14249,                 1.7187,                 1.2758,                 1.0148,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.4893,                 1.0622,                0.99198,                0.47583,                0.40669,                0.35512,                0.17066,                 1.6908,                 1.1894,                 1.0061,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.4524,                 1.0321,                0.98812,                0.61023,                0.28032,                0.31335,                0.16004,                  1.669,                 1.1577,                0.97507,               0.001052,               0.001052,               0.001052
                     10,                 1.4462,                 1.0019,                  0.976,                0.41627,                 0.4648,                0.41845,                0.20429,                 1.7255,                 1.1551,                0.99602,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.4208,                0.97457,                0.97396,                0.67178,                 0.3161,                0.37644,                 0.1828,                  1.642,                 1.2092,                0.99609,              0.0010025,              0.0010025,              0.0010025
                     12,                 1.4126,                0.94395,                0.96858,                0.37995,                0.40558,                0.37517,                0.20244,                 1.6639,                 1.0619,                0.99337,             0.00097775,             0.00097775,             0.00097775
                     13,                 1.4161,                0.94056,                0.97356,                0.46504,                0.41295,                0.36423,                0.18165,                  1.629,                  1.076,                0.97414,               0.000953,               0.000953,               0.000953
                     14,                 1.3832,                0.92375,                0.96201,                0.49894,                0.43428,                0.44108,                0.20488,                 1.5816,                 1.0457,                 0.9723,             0.00092825,             0.00092825,             0.00092825
                     15,                 1.3789,                0.90167,                0.96568,                0.29467,                0.66467,                 0.3803,                0.19788,                 1.6082,                 1.0777,                0.96995,              0.0009035,              0.0009035,              0.0009035
                     16,                 1.3939,                0.91464,                 0.9603,                0.49853,                0.45749,                0.42149,                0.22422,                 1.5802,                 1.0361,                0.97319,             0.00087875,             0.00087875,             0.00087875
                     17,                 1.3675,                0.88973,                0.96281,                0.48554,                0.49051,                0.42765,                0.23149,                 1.6044,                  1.015,                0.98358,               0.000854,               0.000854,               0.000854
                     18,                 1.3704,                 0.8706,                0.95123,                0.49437,                0.44474,                0.46232,                0.25548,                 1.5872,                 1.0021,                0.98188,             0.00082925,             0.00082925,             0.00082925
                     19,                 1.3397,                0.84797,                0.94897,                 0.5117,                0.42618,                0.41537,                0.23095,                 1.5568,                 0.9641,                0.96276,              0.0008045,              0.0008045,              0.0008045
                     20,                 1.3452,                 0.8399,                0.94819,                 0.4382,                0.44964,                0.40961,                0.23411,                 1.5836,                0.98496,                0.97871,             0.00077975,             0.00077975,             0.00077975
                     21,                 1.3152,                0.82518,                0.94947,                0.41807,                0.56772,                0.40195,                0.22021,                 1.6057,                 1.0011,                0.97253,               0.000755,               0.000755,               0.000755
                     22,                 1.3158,                  0.826,                0.94435,                0.59231,                 0.4429,                0.46918,                0.26881,                 1.5656,                 1.0463,                0.96476,             0.00073025,             0.00073025,             0.00073025
                     23,                 1.2968,                0.80999,                0.94105,                0.52945,                0.50814,                 0.4879,                0.26938,                 1.5641,                0.95685,                0.96149,              0.0007055,              0.0007055,              0.0007055
                     24,                 1.2981,                0.79226,                0.93583,                0.49134,                0.62498,                0.50202,                0.26876,                 1.5338,                0.94958,                0.96057,             0.00068075,             0.00068075,             0.00068075
                     25,                 1.2777,                 0.7784,                0.93679,                0.50011,                0.42244,                0.47907,                0.25704,                 1.5522,                0.95121,                0.96438,               0.000656,               0.000656,               0.000656
                     26,                  1.288,                0.78957,                0.93632,                0.55167,                0.45563,                0.44324,                0.25512,                 1.5582,                0.94741,                0.96989,             0.00063125,             0.00063125,             0.00063125
                     27,                 1.2603,                0.76407,                0.93393,                0.51311,                0.52498,                0.54098,                0.27515,                 1.5426,                0.93707,                0.95385,              0.0006065,              0.0006065,              0.0006065
                     28,                 1.2807,                0.76554,                  0.933,                0.58816,                0.47712,                0.49393,                0.27056,                 1.5134,                0.91482,                0.96603,             0.00058175,             0.00058175,             0.00058175
                     29,                 1.2452,                0.74723,                0.93003,                0.52346,                0.46831,                0.47899,                0.26609,                 1.5249,                 0.8967,                0.95241,               0.000557,               0.000557,               0.000557
                     30,                 1.2486,                  0.743,                0.92951,                0.58265,                0.52213,                0.52699,                0.28975,                 1.5277,                 0.9341,                0.96352,             0.00053225,             0.00053225,             0.00053225
                     31,                 1.2327,                0.72812,                 0.9236,                0.59436,                0.49312,                0.52106,                0.28256,                 1.5354,                0.92887,                0.95813,              0.0005075,              0.0005075,              0.0005075
                     32,                 1.2393,                0.73211,                0.92153,                0.57107,                0.58276,                0.57879,                0.32221,                 1.5018,                0.86285,                 0.9463,             0.00048275,             0.00048275,             0.00048275
                     33,                 1.2369,                0.72359,                0.92248,                 0.5557,                 0.5108,                0.50335,                0.29086,                 1.5255,                0.88379,                0.95109,               0.000458,               0.000458,               0.000458
                     34,                 1.2434,                0.72257,                0.91782,                0.60926,                0.53801,                0.59301,                0.33995,                 1.4956,                0.86688,                0.94697,             0.00043325,             0.00043325,             0.00043325
                     35,                 1.2118,                0.70552,                0.91727,                0.58812,                0.48119,                0.50492,                0.27352,                 1.4961,                0.86243,                0.94195,              0.0004085,              0.0004085,              0.0004085
                     36,                 1.2156,                0.70473,                0.91643,                0.59752,                0.50131,                0.58308,                0.34634,                 1.5171,                 0.8593,                0.94324,             0.00038375,             0.00038375,             0.00038375
                     37,                  1.208,                0.69988,                0.91262,                0.59065,                0.52819,                0.51052,                0.30372,                 1.4922,                0.88112,                0.95523,               0.000359,               0.000359,               0.000359
                     38,                 1.1837,                0.68866,                 0.9161,                0.52975,                0.63268,                 0.5271,                 0.3053,                 1.4876,                 0.8528,                0.94743,             0.00033425,             0.00033425,             0.00033425
                     39,                 1.2052,                0.68731,                0.90749,                0.50536,                0.51306,                0.50393,                0.29826,                 1.4746,                0.84953,                0.94019,              0.0003095,              0.0003095,              0.0003095
